RA_ICRS,DE_ICRS,dist_PLX,Diam_pc
51.862,34.9631,685,14
288.4199,36.3689,401,5
295.6135,27.3689,560,14
297.1623,22.0071,901,5
298.3079,39.311,1193,22
53.0773,44.8773,876,9
300.7762,33.5534,2013,15
302.7513,37.4919,857,17
318.099,38.5739,568,11
324.9769,53.9972,938,6
329.3036,51.5193,762,7
72.4335,41.7837,1062,10
340.2334,54.1731,234,9
347.1514,64.9121,379,8
349.937,54.4065,662,11
78.3057,44.4212,1113,22
81.2127,1.6416,352,5
82.0053,-1.9693,361,8
82.1453,3.457,348,6
95.0365,46.7175,627,7
103.5647,-1.6507,1058,6
104.3221,-6.2983,1115,12
105.705,-26.5665,813,19
116.6691,0.1722,298,8
153.6086,-54.9585,485,9
26.8538,57.7058,1609,9
168.362,-55.4297,1001,4
175.2892,-60.9906,2076,12
184.9818,-67.4802,1272,9
189.5127,-67.2157,658,15
212.7227,-62.323,1187,6
229.6997,-60.808,850,25
251.8426,-45.5321,893,10
255.5757,-28.3934,787,10
256.893,-35.4881,911,12
41.6795,57.7627,2462,16
264.7191,-34.8886,583,8
279.275,-19.1702,574,3
282.2168,-18.428,296,7
13.3221,49.5407,719,6
301.2106,-10.5442,447,5
310.9116,23.9029,550,13
51.5722,-35.7687,104,5
113.8534,-15.0924,3794,4
114.2945,-26.3902,7934,5
274.8165,12.4662,584,15
71.6253,55.2335,629,12
2.587,58.7424,432,4
107.7096,-9.3975,581,9
260.6661,-62.7731,485,8
109.6995,-46.0707,280,15
267.6642,-11.883,676,8
342.0094,46.3337,722,11
132.6451,-41.7645,969,9
295.2822,1.5073,668,31
160.6428,-61.0519,399,6
97.3627,9.1792,5050,5
103.074,2.1955,4401,2
220.1006,-66.1284,908,8
105.6147,-1.1214,2973,5
284.0275,21.5794,628,6
232.4931,-51.1959,676,6
266.0696,-47.0742,207,12
304.1485,52.0228,658,6
255.4419,-59.0184,612,9
118.2516,-53.0534,705,11
332.2826,61.1006,899,11
180.6461,-60.9493,1034,9
262.4708,-32.5329,1187,4
283.7115,5.5533,1901,3
354.1605,48.1609,425,8
96.3197,-10.5524,968,2
104.2946,-8.2091,1297,2
106.3412,-12.3212,1184,2
151.6211,-51.5557,2088,5
167.3136,-63.8306,2946,3
170.7664,-58.5482,15416,10
174.668,-63.384,2584,12
186.7245,-64.0645,2762,4
205.0523,-61.7317,5686,2
222.2128,-66.4405,423,8
121.7626,-32.3511,5261,4
252.4786,-44.1828,2460,5
253.7767,-40.9439,1815,4
254.0639,-40.6315,1755,6
255.5391,-41.1251,1908,6
259.0747,-40.8132,3228,5
259.6397,-32.3267,1131,6
123.5355,-36.2801,443,7
266.5612,-29.6969,2972,2
128.9479,-43.6136,4106,5
132.3929,-44.3542,2382,4
134.0429,-39.5162,5402,9
134.3578,-43.1655,927,7
141.6898,-51.2711,10218,8
142.8428,-53.0409,9076,7
145.9542,-56.5723,6646,3
150.3411,-58.2164,5012,5
150.4668,-49.5683,9431,9
151.1608,-55.3771,2402,5
153.0685,-58.0692,2710,4
154.7826,-56.4252,2579,2
159.6002,-59.1988,449,7
313.4127,46.0487,2102,6
282.0346,-5.8867,1904,5
34.8607,58.2984,2260,3
109.3014,-13.9783,1409,4
89.5439,21.9685,1874,5
167.6486,-59.0645,2284,6
201.9797,-62.3101,1967,4
87.2352,30.1942,3494,4
98.5616,8.0476,1599,17
2.4445,60.4691,4251,5
54.8886,66.4891,2690,7
353.2139,64.2096,5645,4
0.8683,63.587,5051,7
65.1319,44.9184,3107,4
71.0972,42.688,4943,6
73.943,52.8005,4810,10
74.9332,43.4914,5340,9
75.349,43.4442,1133,16
75.5127,44.5004,2953,6
80.1262,30.5739,3562,9
80.5244,45.4244,6576,26
81.0163,29.5864,7427,11
6.3192,60.3936,8514,7
98.3151,20.5373,6637,9
99.455,-0.872,6392,12
100.3154,-16.4995,13062,14
102.8388,5.7741,5253,5
103.0287,2.9222,4785,4
104.4349,3.2298,6114,6
104.3964,8.2816,7112,9
104.5285,6.431,3573,8
104.4537,-13.2254,6957,8
107.4914,2.7334,6237,9
109.105,-13.202,4849,8
110.0789,-1.0041,5074,7
116.6957,-4.6584,4986,10
11.2733,64.3894,3380,4
288.8649,11.2576,5383,10
289.3108,19.5482,3304,6
289.7758,15.7146,4452,4
292.131,17.3629,2490,3
302.4846,34.9603,4124,5
315.7444,40.4305,8318,10
319.2278,51.7644,3235,4
73.5831,60.9381,3546,4185
9.6196,67.4622,1091,133
27.7928,61.0596,3224,5
4.4417,60.9345,4240,5
12.0456,67.2028,3235,3
15.3128,63.9169,2778,7
35.3246,65.8934,5272,8
39.7636,60.411,2249,2
69.495,50.7459,2410,7
71.0659,42.1151,3554,13
81.0882,32.603,3861,6
28.5486,62.3671,2968,5
81.4589,41.9499,5640,12
85.2232,32.2771,4432,6
87.5635,22.2523,6513,9
95.5172,-6.3256,7780,4
110.3592,-3.2346,3890,4
110.9165,5.3688,5359,8
281.2435,-1.1468,2489,5
30.3037,75.4806,3996,8
283.5869,-1.2114,2566,4
285.4176,-0.4509,3936,6
287.8434,13.1125,1411,2
304.6942,37.7497,4549,9
305.1038,38.7063,1791,5
305.3902,37.4419,1745,6
306.1196,46.0454,4184,6
53.1616,52.6514,1949,4
308.8355,46.8437,3306,7
335.7076,55.8497,4615,6
337.079,59.1279,4024,5
337.479,55.3975,3969,4
339.8505,59.0039,3188,4
340.645,52.4155,3946,8
308.3153,41.3068,1749,4
302.2953,35.5019,1844,10
16.8514,-29.9455,237,114
160.504,-59.1324,2568,14
161.7604,-60.0969,2567,5
259.3324,-35.5338,1765,7
105.861,-5.0233,2230,3
112.8816,-17.2159,1314,7
113.0039,-19.4167,4017,11
11.9936,66.7818,647,7
68.3325,40.5388,1057,6
68.0848,39.4876,672,8
79.2,41.7263,976,10
83.1649,42.1543,519,17
77.686,39.2045,959,5
76.076,35.831,1208,6
80.172,37.4215,1588,4
81.2179,37.5411,1128,6
78.465,35.4883,1050,10
82.1863,34.3036,1291,8
15.0432,55.399,1266,8
78.6248,31.7048,1092,9
84.7587,28.3872,1432,6
91.0531,31.6024,2034,6
87.4797,27.0017,968,9
90.6672,23.2118,1034,7
91.6739,20.2539,829,9
83.8067,15.713,1452,7
85.747,13.7416,1096,8
96.3563,11.1483,1672,7
18.7454,60.5005,1289,5
21.0578,70.5642,742,6
28.1647,63.0602,1291,6
31.2349,61.7844,995,6
33.4732,60.0444,2951,4
45.0453,58.4213,1027,26
51.4478,51.0852,1265,6
69.5892,42.9623,1008,10
26.108,58.7379,2213,7
81.868,33.4984,2108,6
89.8335,19.034,1920,10
27.3699,58.0665,937,6
28.0846,58.6237,3616,8
33.7124,58.4425,1540,6
39.1447,50.0101,736,8
47.8121,48.0219,891,8
99.1571,4.8155,1687,9
99.2082,5.9324,1575,14
99.2321,4.9738,1619,23
99.6715,2.0674,2354,13
101.6545,1.7731,2106,7
108.6056,-30.7232,666,30
109.2057,-37.0867,305,12
110.8643,-31.9996,385,8
125.8215,-36.3463,1597,7
131.2282,-41.2881,966,5
135.0915,-48.9862,2070,4
156.4327,-57.9236,2745,9
186.7765,-60.7602,1308,5
189.5132,-68.3775,3169,10
199.5401,-67.0779,2801,6
201.0242,-66.2134,1762,8
202.4557,-64.1997,2834,4
202.5788,-61.3212,2413,9
207.0372,-66.065,1735,7
237.4355,-57.6034,1893,6
248.7949,-50.9901,2064,4
264.484,-37.6614,657,6
266.9009,1.5313,369,11
270.9399,3.4263,559,31
283.0843,-20.2126,720,5
304.5399,40.7455,1050,3
305.8359,41.7031,1227,6
26.9425,71.7705,879,13
274.1381,-18.3178,2509,3
83.8028,9.8227,406,14
87.1673,7.3759,2640,7
97.786,9.9164,685,5
1.9069,61.4769,3227,3
39.841,54.9363,2072,4
41.1124,62.3286,3407,5
49.2584,58.6125,3504,3
50.7298,52.1987,3083,12
52.7561,52.6091,2937,6
66.9625,30.9274,1354,3
74.244,28.7629,2724,7
10.9603,60.1824,2018,6
80.1356,39.5417,3789,5
81.6741,36.01,4525,8
87.5155,28.8963,3478,6
88.8386,20.8722,3833,7
93.4295,6.9543,2283,5
97.756,-4.1844,16756,12
105.8277,6.387,4525,4
15.7662,62.7893,5136,3
112.7996,-9.9482,9093,10
114.2321,-20.5084,3394,5
117.6194,-29.8547,5091,7
268.3227,-27.3758,2462,4
282.4475,4.9666,2608,4
297.7595,25.2914,2707,8
339.9084,59.9084,5498,4
351.4483,61.3294,2831,6
28.922,61.3549,4383,5
30.5321,62.8391,2830,5
38.2416,58.7594,3016,3
38.3967,59.8838,3328,4
107.5804,-18.4372,3564,5
150.9694,-59.2415,5344,5
113.8518,-18.6986,2847,10
111.7507,-37.5195,11715,11
10.6425,64.0661,2684,5
92.2934,4.5838,4768,10
274.3647,-19.7033,1344,4
277.6189,-12.3331,3019,6
302.4057,36.5052,3225,9
78.6617,32.6902,1312,6
303.801,36.8336,2017,7
280.2585,-4.0615,2153,8
291.3465,11.6414,2825,7
305.0147,39.3249,2254,7
296.5952,24.6109,2091,4
306.1231,42.314,1006,3
150.8162,-64.7562,16497,21
153.7362,-64.6085,31094,23
118.1254,-60.3348,974,4
181.9754,-59.3078,813,3
182.6018,-59.477,1387,5
185.8014,-59.6504,2589,7
221.2098,-59.1557,2411,3
137.603,-53.8865,1154,3
132.8942,-50.2519,6280,10
246.0442,-51.1526,2570,4
126.7223,-41.2474,6673,4
254.1701,-40.5887,1758,4
253.6906,-40.7299,1814,6
116.0925,-34.6329,2329,5
116.7582,-32.9526,4507,4
261.7178,-34.702,1091,4
133.2491,-35.4709,7437,7
113.3481,-28.1816,3456,7
251.7386,-25.7988,1752,7
112.1857,-20.8101,2502,3
270.5611,-21.9257,2975,4
287.906,12.0439,5704,10
297.0059,23.3566,4743,8
296.9898,26.0387,7197,5
299.5283,26.7794,2659,7
303.3601,25.4507,2880,4
300.6104,35.6668,2059,9
306.3509,40.2243,1743,2
308.1682,41.4418,1764,3
300.7489,46.1948,2221,7
314.1731,46.9021,4489,8
307.7614,51.0235,1804,6
315.5637,48.0946,4116,7
314.1393,49.3647,3208,2
320.9823,49.9215,3624,3
327.7119,55.2402,2711,9
331.9339,53.1102,2914,10
337.7288,53.9541,4575,4
338.7186,58.3041,4685,8
342.9154,56.1116,2135,3
340.6208,58.9419,2292,4
339.0939,64.1469,959,3
345.2425,59.7038,4355,3
348.8251,64.1554,2660,5
355.5402,58.548,3994,6
356.8155,60.8994,3173,5
357.9406,60.9256,3086,18
6.4311,63.7511,4618,6
6.6604,64.0171,1530,5
7.3369,62.3899,2975,9
13.0484,64.583,3124,8
14.3393,62.1176,4415,4
19.7031,60.3534,3915,6
24.9627,64.8702,940,3
25.239,64.5195,3270,4
36.9315,58.7637,3302,7
61.7668,51.1406,1184,3
63.0983,48.7296,3413,4
66.353,46.0981,920,5
77.7833,45.7126,3971,7
67.4594,38.4917,1840,3
73.4855,40.8655,3168,5
83.3381,39.8388,3415,5
75.913,32.1663,1618,7
94.0971,36.3771,3073,6
85.7877,29.0052,3560,14
91.333,30.826,5377,8
86.2723,24.7445,2280,7
88.3722,25.1958,3110,6
103.8253,29.7512,1231,3
91.0888,22.0362,3343,5
93.4515,21.5993,2528,9
91.7747,19.0242,2240,7
98.4388,22.3107,1540,3
91.0816,14.5792,2485,4
98.7719,17.7416,2655,5
93.4327,15.0076,11819,28
95.4518,15.7644,5041,8
96.4756,15.8677,4995,6
95.5866,14.6354,1807,11
94.7678,14.1429,3022,6
92.8485,11.8548,2615,5
98.1561,12.5592,3771,7
97.9745,11.8575,2207,2
97.8139,11.0812,3176,6
92.9417,7.0137,2165,3
102.6226,6.6114,8316,4
103.0441,3.6648,2503,5
98.6543,-0.2604,2541,4
110.5053,3.5531,5232,7
103.2901,-0.1877,1677,3
107.3018,-1.5067,3930,4
102.6227,-5.4424,8826,8
104.304,-6.6235,1953,4
106.1422,-6.6215,4471,5
108.5688,-5.6672,3031,7
104.8108,-9.0637,2523,8
106.8685,-8.875,3029,3
103.9177,-11.0319,2563,3
108.8955,-9.4471,3053,7
115.3374,-9.6041,3466,5
110.6573,-18.7096,3795,6
111.5898,-18.4271,4491,10
112.0886,-19.6832,3115,6
109.9861,-24.5254,2553,4
117.1714,-26.9799,4813,14
123.0151,-28.9885,7651,4
119.4819,-31.5074,4372,6
116.6118,-34.2948,4169,5
120.3973,-34.4812,2667,5
117.6594,-36.4024,2783,11
122.6566,-34.6204,4174,5
131.0369,-39.3514,3172,4
136.4348,-37.8766,5160,10
142.4543,-33.8509,3642,7
129.857,-47.3566,3816,8
142.4522,-50.6889,2462,3
148.8452,-56.6017,4973,10
205.245,-60.2006,3710,5
230.2346,-59.627,3704,6
238.77,-46.0135,1558,3
304.4282,38.0289,3841,5
275.0785,-32.3409,873,6
93.6204,0.626,806,7
164.1472,-63.017,4593,5
161.5766,-57.027,3092,8
123.0281,-38.6627,605,5
68.0156,43.5979,942,5
181.1922,-61.3103,1787,5
104.875,-13.2484,1612,7
259.9153,-36.7629,1341,9
272.5994,-16.7178,1976,7
302.6622,35.8741,1801,4
302.9206,26.519,1632,8
344.2086,61.109,1576,8
122.8802,-37.4178,1436,4
273.6818,11.0955,426,11
106.9742,-25.4653,664,9
304.2558,38.0521,4071,7
1.1706,62.8441,1573,5
52.0673,45.1319,1406,14
80.7056,35.2782,2776,8
146.0801,-54.1154,3106,5
293.6088,18.0526,632,13
313.6564,45.9857,2340,6
301.911,38.24,2525,7
98.3798,7.4992,1732,7
318.0962,46.3261,1154,13
150.3596,-58.1961,2466,7
123.2143,-35.1324,1379,7
292.0872,25.3359,1558,6
163.6962,-58.0507,2984,6
122.1673,-37.4908,3336,9
163.0995,-58.4027,1698,4
296.2799,24.5658,2848,8
127.2323,-38.0997,1273,8
104.6135,3.1122,3523,8
186.2423,-61.974,5535,5
107.9203,0.8406,2035,12
132.6096,-45.4921,2461,8
181.3642,-62.6721,1945,7
30.3465,63.7998,1545,4
161.7559,-59.5125,2522,11
81.0045,34.0173,2604,13
81.2712,33.6963,1263,5
297.8315,18.6507,2709,8
95.3887,26.9285,2185,6
141.2016,-48.0846,1427,5
191.5041,-61.9717,2515,6
195.7273,-64.6093,2306,11
83.2915,-1.6276,422,8
303.443,29.69,1111,5
141.7507,-55.1269,11877,12
80.5452,33.8063,1147,5
126.7569,-47.8005,503,16
112.1592,-15.3688,3855,5
113.866,-27.7096,7266,12
115.2401,-30.0662,574,7
116.1825,-28.3842,4417,13
116.3813,-32.8471,4196,5
117.5864,-25.4646,3412,4
117.8966,-31.8105,4054,4
118.1903,-26.2712,5921,4
119.0604,-30.3635,5629,4
120.2903,-27.2185,3496,4
123.1043,-27.9024,3036,8
107.3845,-16.9042,2231,10
123.9074,-30.8492,3296,8
106.0267,-6.1261,2635,5
106.5098,-15.0002,4494,4
109.4881,-22.6581,1752,4
109.9975,-13.1536,4891,9
110.7384,-29.5022,5020,6
110.7839,-12.315,3182,5
111.1734,-17.0016,2971,4
244.8556,-54.9475,705,8
255.9976,-48.0848,1238,4
262.7855,-36.8058,1604,7
298.3209,18.3356,2164,7
186.8164,-60.765,1308,4
167.6848,-60.3862,2620,4
202.2997,-61.2087,2339,4
218.4634,-61.3292,2457,5
222.6944,-52.2854,1771,4
247.2298,-49.1054,2711,4
251.4084,-47.7473,2731,5
251.6599,-47.0782,2987,5
149.4225,-54.6076,4755,12
302.6929,41.1744,8035,10
318.023,47.7679,3816,6
324.7442,57.558,938,9
332.6266,52.8553,3590,10
334.007,53.99,3745,8
13.2141,56.6276,2951,5
28.0973,61.8578,5723,11
38.249,61.4854,2225,8
42.9078,60.4171,2408,16
91.1865,24.0845,2232,4
130.3901,-53.0042,151,4
130.471,-48.0706,725,5
141.8475,-57.0209,1392,10
156.8631,-57.6252,2837,6
160.4329,-64.3723,152,7
169.379,-62.7116,1391,7
174.7985,-63.4443,2580,8
56.1272,32.171,324,2
64.7371,58.2586,4409,9
261.221,-49.9176,946,7
266.5967,5.5751,348,7
277.9369,-19.1188,660,6
279.6417,5.4364,477,9
304.1383,37.6489,2051,2
328.3522,47.2385,824,2
105.1437,-8.866,2814,2
290.6289,12.6655,4314,4
180.4253,-64.0985,3643,5
60.5837,52.446,9796,8
62.6946,46.868,3023,5
58.8296,58.3921,5376,4
4.0734,59.9666,5084,6
92.193,24.2821,2383,6
5.4559,64.3731,1927,9
343.742,59.1676,3867,5
356.9204,68.6349,3811,7
358.2669,61.9545,3381,6
2.5551,61.1752,4328,9
8.0036,63.1644,2486,4
8.2435,61.8561,3270,5
10.9054,64.1732,3052,5
77.0807,39.0664,4175,5
343.0524,58.291,3222,5
347.0648,60.5271,2914,6
12.7442,58.1889,6035,10
353.305,58.4732,2015,4
357.4743,62.708,3279,4
110.4596,-0.9937,3583,8
291.1163,13.6937,3223,7
292.234,14.8862,2414,3
39.0184,59.0244,2645,5
48.6759,52.6932,2722,8
51.9831,56.4409,743,4
59.7752,51.7846,3493,7
87.3267,33.633,7628,7
86.8612,35.4287,3035,4
90.2392,35.2922,2523,7
84.2222,31.204,1849,5
88.103,29.8902,5561,10
92.2186,26.2629,5560,8
82.0876,34.7753,2257,2
275.6654,-14.7244,3737,1
296.2963,28.1605,8426,5
299.5338,30.8818,9420,9
300.4901,31.4229,2847,4
293.477,18.522,6761,4
323.8828,53.518,4441,3
281.8411,-5.2676,2131,9
256.9564,-44.1583,1913,8
170.2187,-59.3046,2873,5
337.8758,58.037,1416,8
112.1386,-20.1097,3664,12
190.9973,-58.094,1994,8
319.083,57.4571,1411,7
153.2421,-60.8995,2125,12
283.9709,-5.0955,1991,4
175.5139,-61.9569,1837,6
297.9665,22.1154,1718,5
107.498,4.6996,1248,7
247.1807,-54.9597,1460,6
130.7857,-45.7751,1539,18
